id_post_groupe,moyenne_likes,moyenne_comments,moyenne_shares
https://www.facebook.com/groups/355246927922355/posts/4090239497756394,1,1,5
https://www.facebook.com/groups/119320465284777/posts/921090591774423,0,4,0
https://www.facebook.com/groups/119320465284777/posts/921086795108136,0,4,0
https://www.facebook.com/groups/119320465284777/posts/921070731776409,8,5,11
https://www.facebook.com/groups/119320465284777/posts/921045975112218,3,7,0
https://www.facebook.com/groups/119320465284777/posts/921005965116219,4,5,4
https://www.facebook.com/groups/119320465284777/posts/920489045167911,4,9,1
https://www.facebook.com/groups/119320465284777/posts/920413955175420,2,8,0
https://www.facebook.com/groups/119320465284777/posts/920273125189503,1,1,0
https://www.facebook.com/groups/119320465284777/posts/920222021861280,1,1,0
https://www.facebook.com/groups/119320465284777/posts/920203211863161,2,22,0
https://www.facebook.com/groups/119320465284777/posts/919944825222333,3,1,3
https://www.facebook.com/groups/119320465284777/posts/919940111889471,0,3,0
https://www.facebook.com/groups/119320465284777/posts/919852335231582,3,17,0
https://www.facebook.com/groups/119320465284777/posts/919831255233690,1,1,0
https://www.facebook.com/groups/119320465284777/posts/919729301910552,2,11,0
https://www.facebook.com/groups/119320465284777/posts/919632015253614,4,18,0
https://www.facebook.com/groups/119320465284777/posts/919492901934192,10,4,1
https://www.facebook.com/groups/119320465284777/posts/919394951943987,2,1,1
https://www.facebook.com/groups/119320465284777/posts/919281295288686,10,4,2
https://www.facebook.com/groups/119320465284777/posts/918768615339954,4,12,4
https://www.facebook.com/groups/119320465284777/posts/918488182034664,0,3,0
https://www.facebook.com/groups/119320465284777/posts/918483548701794,0,3,1
https://www.facebook.com/groups/119320465284777/posts/918417342041748,1,9,0
https://www.facebook.com/groups/119320465284777/posts/917517162131766,1,2,0
https://www.facebook.com/groups/119320465284777/posts/917211028829046,3,3,3
https://www.facebook.com/groups/119320465284777/posts/908235273059955,3,13,0
https://www.facebook.com/groups/119320465284777/posts/898521474031335,7,8,0
https://www.facebook.com/groups/119320465284777/posts/849563325593817,1,11,0
https://www.facebook.com/groups/114434322224694/posts/1500543226947123,0,1,0
https://www.facebook.com/groups/114434322224694/posts/1500111153656997,10,1,1
https://www.facebook.com/groups/114434322224694/posts/1499990277002418,2,5,0
https://www.facebook.com/groups/114434322224694/posts/1499968010337978,0,9,0
https://www.facebook.com/groups/114434322224694/posts/1499925677008878,1,8,0
https://www.facebook.com/groups/114434322224694/posts/1499916490343130,6,1,2
https://www.facebook.com/groups/114434322224694/posts/1499837593684353,1,2,0
https://www.facebook.com/groups/114434322224694/posts/1499557750379004,1,2,4
https://www.facebook.com/groups/114434322224694/posts/1499397550395024,2,2,0
https://www.facebook.com/groups/114434322224694/posts/1499376347063811,10,4,2
https://www.facebook.com/groups/114434322224694/posts/1499343953733717,1,2,0
https://www.facebook.com/groups/114434322224694/posts/1499269140407865,2,1,0
https://www.facebook.com/groups/114434322224694/posts/1499256253742487,1,1,1
https://www.facebook.com/groups/114434322224694/posts/1499073310427448,8,3,12
https://www.facebook.com/groups/114434322224694/posts/1498815563786556,0,1,0
https://www.facebook.com/groups/114434322224694/posts/1498803557121090,0,4,1
https://www.facebook.com/groups/114434322224694/posts/1498766947124751,10,4,4
https://www.facebook.com/groups/114434322224694/posts/1498616923806420,9,1,1
https://www.facebook.com/groups/114434322224694/posts/1498481683819944,10,4,1
https://www.facebook.com/groups/114434322224694/posts/1496318084036304,10,20,0
https://www.facebook.com/groups/1093010917441192/posts/4214218461987073,1,1,0
https://www.facebook.com/groups/1093010917441192/posts/4209827202426199,1,1,0
https://www.facebook.com/groups/1093010917441192/posts/4202660686476184,0,4,0
https://www.facebook.com/groups/1093010917441192/posts/4192282137514039,1,0,0
https://www.facebook.com/groups/1093010917441192/posts/4188333694575550,0,1,0
https://www.facebook.com/groups/1093010917441192/posts/4185461218196131,3,2,0
https://www.facebook.com/groups/1093010917441192/posts/4181338795275040,2,1,0
https://www.facebook.com/groups/1093010917441192/posts/4169436216465298,2,8,0
https://www.facebook.com/groups/1093010917441192/posts/4166314373444149,1,1,0
https://www.facebook.com/groups/1093010917441192/posts/4159090347499885,1,2,0
https://www.facebook.com/groups/1093010917441192/posts/4158183834257203,1,1,0
https://www.facebook.com/groups/1093010917441192/posts/4140174866058100,0,1,0
https://www.facebook.com/groups/1093010917441192/posts/4139964892745764,0,1,0
https://www.facebook.com/groups/1093010917441192/posts/4139795236096063,1,1,0
https://www.facebook.com/groups/1093010917441192/posts/4137390759669844,10,13,0
https://www.facebook.com/groups/1093010917441192/posts/4135500153192238,0,1,0
https://www.facebook.com/groups/1093010917441192/posts/4134998286575758,3,5,0
https://www.facebook.com/groups/1093010917441192/posts/4114248498650737,8,12,0
https://www.facebook.com/groups/1093010917441192/posts/4034417739967147,4,4,0
https://www.facebook.com/groups/1093010917441192/posts/3995449683863953,2,4,0
https://www.facebook.com/groups/1093010917441192/posts/3921861744556081,2,4,0
https://www.facebook.com/groups/1093010917441192/posts/3774366362638954,10,14,0
https://www.facebook.com/groups/1093010917441192/posts/3712485925493665,2,2,0
https://www.facebook.com/groups/1063877606962951/posts/4663668720317137,10,2,0
https://www.facebook.com/groups/1063877606962951/posts/4631046663579343,4,1,0
https://www.facebook.com/groups/1063877606962951/posts/4616575081693168,0,6,0
https://www.facebook.com/groups/1054405138281050/posts/1697747390613485,0,3,0
https://www.facebook.com/groups/1054405138281050/posts/1696937250694499,0,2,0
https://www.facebook.com/groups/1054405138281050/posts/1696916644029893,1,2,0
https://www.facebook.com/groups/1054405138281050/posts/1696148977439993,4,2,1
https://www.facebook.com/groups/1054405138281050/posts/1696106207444270,3,1,0
https://www.facebook.com/groups/1054405138281050/posts/1687947661593458,4,2,1
https://www.facebook.com/groups/1054405138281050/posts/1687906061597618,3,1,21
https://www.facebook.com/groups/1054405138281050/posts/1687112055010352,1,1,0
https://www.facebook.com/groups/1054405138281050/posts/1681707335550824,3,1,0
https://www.facebook.com/groups/1054405138281050/posts/1681169965604561,4,1,0
https://www.facebook.com/groups/1054405138281050/posts/1674960399558851,6,2,2
https://www.facebook.com/groups/1054405138281050/posts/1673884992999725,0,1,0
https://www.facebook.com/groups/1054405138281050/posts/1659314591123432,1,2,0
https://www.facebook.com/groups/1054405138281050/posts/1054523938269170,10,1,1
https://www.facebook.com/groups/105173838171/posts/10158701862423172,10,1,2
https://www.facebook.com/groups/105173838171/posts/10158696582808172,10,12,2
https://www.facebook.com/groups/105173838171/posts/10158694399908172,10,4,1
https://www.facebook.com/groups/105173838171/posts/10158684402473172,10,3,0
https://www.facebook.com/groups/105173838171/posts/10158671261193172,10,1,1
https://www.facebook.com/groups/105173838171/posts/10158671106563172,10,1,0
https://www.facebook.com/groups/105173838171/posts/10158670912133172,10,5,0
https://www.facebook.com/groups/105173838171/posts/10158670887603172,7,2,0
https://www.facebook.com/groups/105173838171/posts/10158670873223172,10,3,0
https://www.facebook.com/groups/105173838171/posts/10158670859288172,10,2,0
https://www.facebook.com/groups/105173838171/posts/10158650532268172,10,1,3
https://www.facebook.com/groups/105173838171/posts/10158644406268172,7,1,0
https://www.facebook.com/groups/105173838171/posts/10158644365563172,10,3,0
https://www.facebook.com/groups/105173838171/posts/10158599882268172,10,1,0
https://www.facebook.com/groups/105173838171/posts/10158597116238172,10,1,4
https://www.facebook.com/groups/105173838171/posts/10158595925663172,10,3,1
https://www.facebook.com/groups/105173838171/posts/10158581035033172,10,3,1
https://www.facebook.com/groups/105173838171/posts/10158561109458172,10,7,0
https://www.facebook.com/groups/105173838171/posts/10158526517383172,10,3,1
https://www.facebook.com/groups/1038481196624405/posts/1199663953839461,6,1,1
https://www.facebook.com/groups/1038481196624405/posts/1199306620541861,1,1,0
https://www.facebook.com/groups/1038481196624405/posts/1191644231308100,2,1,0
https://www.facebook.com/groups/1038481196624405/posts/1188489548290235,1,2,0
https://www.facebook.com/groups/1038481196624405/posts/1188082041664319,0,1,0
https://www.facebook.com/groups/1038481196624405/posts/1183623582110165,3,2,5
https://www.facebook.com/groups/101964846512805/posts/5875146245861274,10,1,0
https://www.facebook.com/groups/101964846512805/posts/5874890765886822,10,3,0
https://www.facebook.com/groups/101964846512805/posts/5865922743450291,3,7,0
https://www.facebook.com/groups/101964846512805/posts/5863447413697824,2,9,0
https://www.facebook.com/groups/101964846512805/posts/5861769397198959,10,8,0
https://www.facebook.com/groups/101964846512805/posts/5860890603953505,1,2,0
https://www.facebook.com/groups/101964846512805/posts/5856549607720938,1,1,0
https://www.facebook.com/groups/101964846512805/posts/5852241898151709,0,4,0
https://www.facebook.com/groups/101964846512805/posts/5842981269077772,2,18,0
https://www.facebook.com/groups/101964846512805/posts/5842119339163965,0,1,0
https://www.facebook.com/groups/101964846512805/posts/5841874589188440,6,1,0
https://www.facebook.com/groups/101964846512805/posts/5834645479911351,10,3,0
https://www.facebook.com/groups/101964846512805/posts/5834412909934608,0,2,0
https://www.facebook.com/groups/101964846512805/posts/5832507833458449,4,20,0
https://www.facebook.com/groups/101964846512805/posts/5818479538194612,0,1,0
https://www.facebook.com/groups/101964846512805/posts/5205604829482089,0,14,0
https://www.facebook.com/groups/101964846512805/posts/5192894574086448,1,1,0
https://www.facebook.com/groups/1010184046117378/posts/1180565702412544,3,1,1
https://www.facebook.com/groups/1010184046117378/posts/1180420089093772,10,6,0
https://www.facebook.com/groups/1010184046117378/posts/1179904819145299,10,10,0
https://www.facebook.com/groups/1010184046117378/posts/1176795416122906,0,1,0
https://www.facebook.com/groups/1010184046117378/posts/1176597272809387,3,2,3
https://www.facebook.com/groups/1010184046117378/posts/1176290456173402,6,7,0
https://www.facebook.com/groups/1010184046117378/posts/1174988509636930,0,3,0
https://www.facebook.com/groups/1010184046117378/posts/1174977282971386,8,4,0
https://www.facebook.com/groups/1010184046117378/permalink/1113690175766764,10,0,0
https://www.facebook.com/groups/1010184046117378/permalink/1109704492831999,10,0,2
https://www.facebook.com/groups/1007829165921329/permalink/4051218168249065,5,0,23
https://www.facebook.com/groups/1007829165921329/permalink/4050201295017419,0,0,23
https://www.facebook.com/groups/1007829165921329/permalink/4049687865068762,0,0,23
https://www.facebook.com/groups/1007829165921329/permalink/4048296025207946,0,0,23
https://www.facebook.com/groups/1007829165921329/permalink/4047313778639504,1,0,23
https://www.facebook.com/groups/1007829165921329/permalink/4047242891979926,0,0,23
https://www.facebook.com/groups/1007829165921329/permalink/4046838782020337,1,0,23
https://www.facebook.com/groups/1007829165921329/permalink/4045868592117356,1,1,23
https://www.facebook.com/groups/1007829165921329/permalink/4045402682163947,0,0,23
https://www.facebook.com/groups/1007829165921329/permalink/4045308822173333,0,0,23
https://www.facebook.com/groups/1007829165921329/permalink/4044129048957977,1,0,23
https://www.facebook.com/groups/1007829165921329/permalink/4043209862383229,2,0,23
https://www.facebook.com/groups/1007829165921329/permalink/4042470772457138,0,0,23
https://www.facebook.com/groups/1007829165921329/permalink/4039089009461981,2,0,23
https://www.facebook.com/groups/1007829165921329/permalink/4037740442930171,0,0,23
https://www.facebook.com/groups/1007829165921329/permalink/4037659699604912,10,1,23
https://www.facebook.com/groups/1007829165921329/permalink/4037006579670224,0,0,23
https://www.facebook.com/groups/1007829165921329/permalink/4036262529744629,1,0,23
https://www.facebook.com/groups/1007829165921329/permalink/4035137513190464,4,0,23
https://www.facebook.com/groups/1007829165921329/permalink/4035009386536610,0,0,23
https://www.facebook.com/groups/1007829165921329/permalink/4034038426633706,7,1,23
https://www.facebook.com/groups/1007829165921329/permalink/4031253923578823,0,0,23
https://www.facebook.com/groups/1007829165921329/permalink/4029066790464203,0,0,23
https://www.facebook.com/groups/1007829165921329/permalink/4028584843845731,0,0,23
https://www.facebook.com/groups/1007829165921329/permalink/4027985450572337,0,0,23
https://www.facebook.com/groups/1007829165921329/permalink/4025720770798805,1,0,23
https://www.facebook.com/groups/1007829165921329/permalink/4024020790968803,0,7,23
https://www.facebook.com/groups/1007829165921329/permalink/4023947004309515,0,0,23
https://www.facebook.com/groups/1007829165921329/permalink/4023800937657455,10,0,23
https://www.facebook.com/groups/1007829165921329/permalink/4023646437672905,2,2,23
https://www.facebook.com/groups/1007829165921329/permalink/4021317924572423,1,0,23
https://www.facebook.com/groups/1007829165921329/permalink/4021231227914426,2,0,23
https://www.facebook.com/groups/1007829165921329/permalink/4020272461343636,1,0,23
https://www.facebook.com/groups/1007829165921329/permalink/4020270298010519,2,0,23
https://www.facebook.com/groups/1007829165921329/permalink/4019647618072787,3,3,23
https://www.facebook.com/groups/1007829165921329/permalink/4018227611548121,2,0,23
https://www.facebook.com/groups/1007829165921329/permalink/4018200711550811,4,0,23
https://www.facebook.com/groups/1007829165921329/permalink/4018189104885305,0,0,23
https://www.facebook.com/groups/1007829165921329/permalink/4017873551583527,0,0,23
https://www.facebook.com/groups/1007829165921329/permalink/4017026108334938,3,0,23
https://www.facebook.com/groups/1007829165921329/permalink/4017019238335625,3,0,23
https://www.facebook.com/groups/1007829165921329/permalink/4016986158338933,0,0,23
https://www.facebook.com/groups/1007829165921329/permalink/4016075161763366,0,0,23
https://www.facebook.com/groups/1007829165921329/permalink/4015498045154411,4,1,23
https://www.facebook.com/groups/1002180589859161/posts/3993788074031716,0,1,0
https://www.facebook.com/groups/1002180589859161/posts/3993755424034981,0,2,0
https://www.facebook.com/groups/1002180589859161/permalink/4044238372320019,0,0,23
https://www.facebook.com/groups/1002180589859161/permalink/4042983449112178,0,0,23
https://www.facebook.com/groups/1002180589859161/permalink/4041319765945213,0,0,23
https://www.facebook.com/groups/1002180589859161/permalink/4040181172725739,0,0,23
https://www.facebook.com/groups/1002180589859161/permalink/4039458379464685,0,0,23
https://www.facebook.com/groups/1002180589859161/permalink/4039453492798507,0,0,23
https://www.facebook.com/groups/1002180589859161/permalink/4037349366342253,0,0,23
https://www.facebook.com/groups/1002180589859161/permalink/4037194023024454,0,0,23
https://www.facebook.com/groups/1002180589859161/permalink/4037189619691561,0,0,23
https://www.facebook.com/groups/1002180589859161/permalink/4034224139988109,0,0,23
https://www.facebook.com/groups/1002180589859161/permalink/4033737660036757,0,0,23
https://www.facebook.com/groups/1002180589859161/permalink/4033245096752680,0,0,23
https://www.facebook.com/groups/1002180589859161/permalink/4030361170374406,0,0,23
https://www.facebook.com/groups/1002180589859161/permalink/4022210801189443,0,0,23
https://www.facebook.com/groups/1002180589859161/permalink/4019797118097478,2,0,23
https://www.facebook.com/groups/1002180589859161/permalink/4016955888381601,0,0,23
https://www.facebook.com/groups/1002180589859161/permalink/4014291918647998,0,0,23
https://www.facebook.com/groups/1002180589859161/permalink/4012415738835616,0,0,23
https://www.facebook.com/groups/1002180589859161/permalink/4011354668941723,0,0,23
https://www.facebook.com/groups/1002180589859161/permalink/4010400439037146,0,0,23
https://www.facebook.com/groups/09ybe/posts/4094484157253551,5,1,0
https://www.facebook.com/groups/09ybe/posts/4084208634947770,1,1,0
https://www.facebook.com/groups/09ybe/permalink/4098282693540364,2,0,0
https://www.facebook.com/groups/09ybe/permalink/4098260703542563,0,0,23
https://www.facebook.com/groups/09ybe/permalink/4096037010431599,0,0,0
https://www.facebook.com/groups/09ybe/permalink/4095534353815198,2,0,23
https://www.facebook.com/groups/09ybe/permalink/4095016447200322,6,0,23
https://www.facebook.com/groups/09ybe/permalink/4094484157253551,5,1,23
https://www.facebook.com/groups/09ybe/permalink/4094462573922376,5,0,23
https://www.facebook.com/groups/09ybe/permalink/4093876790647621,6,0,23
https://www.facebook.com/groups/09ybe/permalink/4093662650669035,1,0,23
https://www.facebook.com/groups/09ybe/permalink/4093326290702671,0,0,23
https://www.facebook.com/groups/09ybe/permalink/4093185420716758,2,0,23
https://www.facebook.com/groups/09ybe/permalink/4093014924067141,5,0,23
https://www.facebook.com/groups/09ybe/permalink/4092841867417780,1,0,23
https://www.facebook.com/groups/09ybe/permalink/4092719507430016,10,0,23
https://www.facebook.com/groups/09ybe/permalink/4092676214101012,10,0,23
https://www.facebook.com/groups/09ybe/permalink/4092331987468768,10,0,23
https://www.facebook.com/groups/09ybe/permalink/4092327757469191,4,0,23
https://www.facebook.com/groups/09ybe/permalink/4091539974214636,2,0,23
https://www.facebook.com/groups/09ybe/permalink/4091477517554215,3,0,23
https://www.facebook.com/groups/09ybe/permalink/4090560734312560,4,0,23
https://www.facebook.com/groups/09ybe/permalink/4090509604317673,2,0,23
https://www.facebook.com/groups/09ybe/permalink/4090395457662421,0,0,23
https://www.facebook.com/groups/09ybe/permalink/4089982821037018,2,0,23
https://www.facebook.com/groups/09ybe/permalink/4089962827705684,3,0,23
https://www.facebook.com/groups/09ybe/permalink/4089122101123090,2,0,23
https://www.facebook.com/groups/09ybe/permalink/4088811297820837,10,0,23
https://www.facebook.com/groups/09ybe/permalink/4087632327938734,1,0,23
https://www.facebook.com/groups/09ybe/permalink/4087625141272786,1,0,23
https://www.facebook.com/groups/09ybe/permalink/4085286641506636,2,0,23
https://www.facebook.com/groups/09ybe/permalink/4084423124926321,1,0,23
https://www.facebook.com/groups/09ybe/permalink/4084208634947770,1,1,23
https://www.facebook.com/groups/09ybe/permalink/4083543085014325,8,0,23
https://www.facebook.com/groups/09ybe/permalink/4081953511839949,1,0,23
https://www.facebook.com/groups/09ybe/permalink/4081669341868366,3,0,23
https://www.facebook.com/groups/09ybe/permalink/4081633241871976,2,0,23
https://www.facebook.com/groups/09ybe/permalink/4080768945291739,5,0,23
https://www.facebook.com/groups/09ybe/permalink/4080577398644227,1,0,23
https://www.facebook.com/groups/09ybe/permalink/4079088015459832,1,0,23
https://www.facebook.com/groups/09ybe/permalink/4079076648794302,2,0,23
https://www.facebook.com/groups/09ybe/permalink/4078988575469776,4,0,23
https://www.facebook.com/groups/09ybe/permalink/4077570065611627,1,0,23
https://www.facebook.com/groups/09ybe/permalink/4077081262327174,1,0,23
https://www.facebook.com/groups/09ybe/permalink/4077067348995232,8,0,23
https://www.facebook.com/groups/09ybe/permalink/4075802239121743,10,0,23
https://www.facebook.com/groups/09ybe/permalink/4074944265874207,1,0,23
https://www.facebook.com/groups/09ybe/permalink/4074764169225550,3,0,23
https://www.facebook.com/groups/09ybe/permalink/4074139282621372,2,0,23
https://www.facebook.com/groups/09ybe/permalink/4073771352658165,6,0,23
https://www.facebook.com/groups/09ybe/permalink/4073560459345921,1,0,23
https://www.facebook.com/groups/09ybe/permalink/4073553366013297,2,0,23
https://www.facebook.com/groups/09ybe/permalink/4072126649489302,1,0,23
https://www.facebook.com/groups/09ybe/permalink/4071885092846791,2,0,23
https://www.facebook.com/groups/09ybe/permalink/4071415232893777,0,0,23
https://www.facebook.com/groups/09ybe/permalink/4071405979561369,1,0,23
https://www.facebook.com/groups/09ybe/permalink/4071175529584414,1,0,23
https://www.facebook.com/groups/09ybe/permalink/4070937212941579,2,0,23
https://www.facebook.com/groups/09ybe/permalink/4070867812948519,1,0,23
https://www.facebook.com/groups/09ybe/permalink/4070494906319143,1,0,23
https://www.facebook.com/groups/09ybe/permalink/4067864449915522,3,0,23
https://www.facebook.com/groups/09ybe/permalink/4067051296663504,0,0,23