Rang_Post,Likes,Comments,Share
119,10,2,0
122,8,0,0
108,8,0,0
5,7,1,1
3,6,0,0
101,6,2,0
118,6,5,0
13,6,1,0
19,6,1,1
97,5,0,0
116,5,0,0
17,5,1,0
105,4,0,0
20,4,0,0
39,3,0,0
7,3,0,0
94,3,0,0
31,3,0,0
30,2,0,0
115,2,0,0
110,2,0,1
54,2,0,0
32,2,0,0
111,2,0,0
12,2,0,0
112,2,0,0
99,2,0,0
24,2,0,0
65,2,0,0
134,2,0,0
34,2,0,0
41,2,0,0
21,2,1,0
138,2,0,0
16,2,0,0
95,2,0,0
42,2,0,0
96,2,0,0
104,2,0,0
46,2,0,0
51,2,1,null
109,1,0,0
15,1,1,1
45,1,0,0
60,1,0,0
48,1,0,0
47,1,1,0
63,1,1,0
23,1,0,0
22,1,1,0
86,1,0,0
68,1,0,0
81,1,0,0
77,1,0,0
9,1,0,0
73,1,0,0
70,1,0,0
137,1,0,0
6,1,1,0
64,0,0,0
123,0,0,0
62,0,0,0
61,0,0,0
8,0,0,0
58,0,0,0
113,0,0,0
57,0,0,0
114,0,0,0
107,0,0,0
25,0,0,0
102,0,0,0
50,0,0,0
4,0,0,0
49,0,0,0
124,0,0,0
125,0,0,0
136,0,0,0
88,0,0,0
43,0,0,0
80,0,0,0
79,0,0,0
78,0,0,0
40,0,0,0
38,0,0,0
37,0,0,0
142,0,0,0
35,0,0,0
141,0,0,0
71,0,0,0
140,0,0,0
139,0,0,0
69,0,0,0
135,0,0,0
133,0,0,0
67,0,0,0
52,0,0,0
72,0,0,0
36,0,0,0
74,0,0,0
33,0,0,0
66,0,0,0
127,null,null,null
126,null,null,null
121,null,null,null
120,null,null,null
117,null,null,null
59,null,null,null
29,null,null,null
56,null,null,null
55,null,null,null
28,null,null,null
106,null,null,null
53,null,null,null
27,null,null,null
103,null,null,null
100,null,null,null
98,null,null,null
26,null,null,null
14,null,null,null
93,null,null,null
128,null,null,null
92,null,null,null
91,null,null,null
90,null,null,null
89,null,null,null
87,null,null,null
85,null,null,null
84,null,null,null
83,null,null,null
82,null,null,null
44,null,null,null
11,null,null,null
146,null,null,null
145,null,null,null
76,null,null,null
75,null,null,null
144,null,null,null
143,null,null,null
132,null,null,null
131,null,null,null
130,null,null,null
129,null,null,null
18,null,null,null
10,null,null,null
2,null,null,null